game_point_id,game_id,game,round,phase,season_code,number_of_play,team,player_id,player,action_id,action,points,coord_x,coord_y,zone,fastbreak,second_chance,points_off_turnover,minute,console,points_a,points_b,timestamp
2007_001_252,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,252,BAS,PJZJ,TELETOVIC_ MIRZA,2FGM,Two Pointer,2,12,2,C,None,None,None,16,04:00,44,29,1970-01-01
2007_001_255,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,255,OLY,PCRR,GREER_ LYNN TERENCE,FTM,Free Throw In,1,-1,-1,,None,None,None,16,04:00,45,29,1970-01-01
2007_001_256,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,256,OLY,PCRR,GREER_ LYNN TERENCE,FTM,Free Throw In,1,-1,-1,,None,None,None,16,04:00,46,29,1970-01-01
2007_001_257,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,257,BAS,PCBY,SPLITTER_ TIAGO,2FGM,Two Pointer,2,-56,82,D,None,None,None,16,04:00,46,31,1970-01-01
2007_001_260,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,260,OLY,PCBV,MACIJAUSKAS_ ARVYDAS,2FGA,Missed Two Pointer,0,-23,356,D,None,None,None,17,03:00,46,31,1970-01-01
2007_001_262,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,262,BAS,PAFP,PLANINIC_ ZORAN,3FGA,Missed Three Pointer,0,-251,633,J,None,None,None,17,03:00,46,31,1970-01-01
2007_001_265,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,265,BAS,PCBY,SPLITTER_ TIAGO,2FGA,Missed Two Pointer,0,-15,448,I,None,None,None,17,03:00,46,31,1970-01-01
2007_001_270,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,270,BAS,PANB,RAKOCEVIC_ IGOR,3FGM,Three Pointer,3,338,571,G,None,None,None,17,03:00,46,34,1970-01-01
2007_001_273,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,273,OLY,P000126,JACKSON_ MARC,2FGM,Two Pointer,2,-25,458,I,None,None,None,18,02:00,48,34,1970-01-01
2007_001_274,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,274,BAS,PCBX,PRIGIONI_ PABLO,3FGM,Three Pointer,3,576,402,A,None,None,None,18,02:00,48,37,1970-01-01
2007_001_276,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,276,OLY,PCRR,GREER_ LYNN TERENCE,3FGM,Three Pointer,3,-266,669,J,None,None,None,18,02:00,51,37,1970-01-01
2007_001_277,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,277,BAS,PAFP,PLANINIC_ ZORAN,2FGAB,Missed Two Pointer,0,0,92,D,None,None,None,18,02:00,51,37,1970-01-01
2007_001_286,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,286,BAS,PCBX,PRIGIONI_ PABLO,3FGA,Missed Three Pointer,0,658,64,A,None,None,None,19,01:00,51,37,1970-01-01
2007_001_288,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,288,OLY,PJDR,TEODOSIC_ MILOS,3FGA,Missed Three Pointer,0,292,643,G,None,None,None,19,01:00,51,37,1970-01-01
2007_001_291,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,291,BAS,PCBX,PRIGIONI_ PABLO,3FGA,Missed Three Pointer,0,356,258,B,None,None,None,19,01:00,51,37,1970-01-01
2007_001_294,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,294,OLY,PJDR,TEODOSIC_ MILOS,2FGM,Two Pointer,2,10,125,C,None,None,None,20,00:00,53,37,1970-01-01
2007_001_301,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,301,OLY,PCBV,MACIJAUSKAS_ ARVYDAS,FTM,Free Throw In,1,-1,-1,,None,None,None,20,00:00,54,37,1970-01-01
2007_001_302,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,302,OLY,PCBV,MACIJAUSKAS_ ARVYDAS,FTM,Free Throw In,1,-1,-1,,None,None,None,20,00:00,55,37,1970-01-01
2007_001_305,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,305,OLY,PCRR,GREER_ LYNN TERENCE,2FGA,Missed Two Pointer,0,-38,51,D,None,None,None,20,00:00,55,37,1970-01-01
2007_001_307,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,307,BAS,PAFP,PLANINIC_ ZORAN,2FGA,Missed Two Pointer,0,-5,48,D,None,None,None,20,00:00,55,37,1970-01-01
2007_001_318,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,318,OLY,PCRR,GREER_ LYNN TERENCE,2FGA,Missed Two Pointer,0,2,79,D,None,None,None,20,00:00,55,37,1970-01-01
2007_001_334,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,334,OLY,P000126,JACKSON_ MARC,3FGM,Three Pointer,3,-51,702,J,None,None,None,21,09:00,58,37,1970-01-01
2007_001_336,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,336,BAS,PCBX,PRIGIONI_ PABLO,3FGA,Missed Three Pointer,0,-292,638,J,None,None,None,21,09:00,58,37,1970-01-01
2007_001_338,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,338,BAS,PJZJ,TELETOVIC_ MIRZA,2FGM,Two Pointer,2,-25,35,D,None,None,None,21,09:00,58,39,1970-01-01
2007_001_340,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,340,OLY,P000126,JACKSON_ MARC,2FGA,Missed Two Pointer,0,292,464,H,None,None,None,22,08:00,58,39,1970-01-01
2007_001_345,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,345,OLY,PCRR,GREER_ LYNN TERENCE,3FGA,Missed Three Pointer,0,-420,535,J,None,None,None,22,08:00,58,39,1970-01-01
2007_001_347,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,347,BAS,PAFP,PLANINIC_ ZORAN,3FGM,Three Pointer,3,-246,646,J,None,None,None,22,08:00,58,42,1970-01-01
2007_001_349,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,349,OLY,PTFV,WOODS_ QYNTEL,2FGM,Two Pointer,2,-351,320,E,None,None,None,22,08:00,60,42,1970-01-01
2007_001_352,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,352,BAS,PJZJ,TELETOVIC_ MIRZA,3FGM,Three Pointer,3,-7,682,J,None,None,None,22,08:00,60,45,1970-01-01
2007_001_358,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,358,BAS,PJTT,MCDONALD_ WILL,2FGM,Two Pointer,2,-30,38,D,None,None,None,22,08:00,60,47,1970-01-01
2007_001_361,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,361,BAS,PJTT,MCDONALD_ WILL,FTM,Free Throw In,1,-1,-1,,None,None,None,23,07:00,60,48,1970-01-01
