season_player_id,season_code,player_id,player,team_id,games_played,games_started,minutes,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation,minutes_per_game,points_per_game,two_points_made_per_game,two_points_attempted_per_game,two_points_percentage,three_points_made_per_game,three_points_attempted_per_game,three_points_percentage,free_throws_made_per_game,free_throws_attempted_per_game,free_throws_percentage,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,turnovers_per_game,blocks_favour_per_game,blocks_against_per_game,fouls_committed_per_game,fouls_received_per_game,valuation_per_game
2010_P000728_SIE,E2010,P000728,AKINDELE_ JELEEL,SIE,6.0,0.0,47.9,20,5,12,0,0,10,14,5,9,14,0,0,5,3,1,8,13,25,7.99,3.33,0.83,2.0,0.417,0.0,0.0,0.0,1.67,2.33,0.714,0.83,1.5,2.33,0.0,0.0,0.83,0.5,0.17,1.33,2.17,4.17
2012_PJVE_BES,E2012,PJVE,AKIN_ FIKRET CAN,BES,17.0,5.0,269.4,54,12,39,7,31,9,9,5,11,16,22,5,15,1,2,29,16,17,15.85,3.18,0.71,2.29,0.308,0.41,1.82,0.226,0.53,0.53,1.0,0.29,0.65,0.94,1.29,0.29,0.88,0.06,0.12,1.71,0.94,1.0
2008_P000645_NAN,E2008,P000645,AKINGBALA_ AKIN,NAN,2.0,0.0,36.2,16,7,11,0,0,2,5,3,5,8,0,1,0,3,1,4,6,22,18.11,8.0,3.5,5.5,0.636,0.0,0.0,0.0,1.0,2.5,0.4,1.5,2.5,4.0,0.0,0.5,0.0,1.5,0.5,2.0,3.0,11.0
2011_P000645_NAN,E2011,P000645,AKINGBALA_ AKIN,NAN,8.0,8.0,237.1,96,41,71,0,1,14,32,22,33,55,4,10,16,8,2,15,36,127,29.64,12.0,5.12,8.88,0.577,0.0,0.12,0.0,1.75,4.0,0.438,2.75,4.12,6.88,0.5,1.25,2.0,1.0,0.25,1.88,4.5,15.88
2016_P007394_BAS,E2016,P007394,AKOGNON_ JOSH,BAS,5.0,1.0,59.6,19,5,7,3,14,0,0,1,2,3,6,2,3,0,0,11,2,5,11.92,3.8,1.0,1.4,0.714,0.6,2.8,0.214,0.0,0.0,0.0,0.2,0.4,0.6,1.2,0.4,0.6,0.0,0.0,2.2,0.4,1.0
2014_P004056_BER,E2014,P004056,AKPINAR_ ISMET,BER,5.0,0.0,28.3,8,1,3,2,4,0,0,0,2,2,3,2,4,0,1,5,1,2,5.65,1.6,0.2,0.6,0.333,0.4,0.8,0.5,0.0,0.0,0.0,0.0,0.4,0.4,0.6,0.4,0.8,0.0,0.2,1.0,0.2,0.4
2021_P004056_ULK,E2021,P004056,AKPINAR_ ISMET,ULK,14.0,3.0,163.4,67,6,14,15,36,10,11,0,10,10,13,2,8,1,3,36,23,39,11.67,4.79,0.43,1.0,0.429,1.07,2.57,0.417,0.71,0.79,0.909,0.0,0.71,0.71,0.93,0.14,0.57,0.07,0.21,2.57,1.64,2.79
2022_P004056_ULK,E2022,P004056,AKPINAR_ ISMET,ULK,5.0,1.0,31.8,16,2,2,4,6,0,0,0,2,2,2,1,4,0,0,10,2,7,6.35,3.2,0.4,0.4,1.0,0.8,1.2,0.667,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.2,0.8,0.0,0.0,2.0,0.4,1.4
2007_PBXK_IST,E2007,PBXK,AKYOL_ CENK,IST,1.0,0.0,2.1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.13,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2008_PBXK_IST,E2008,PBXK,AKYOL_ CENK,IST,7.0,1.0,62.5,22,5,7,3,13,3,4,2,1,3,2,3,3,0,0,7,7,14,8.92,3.14,0.71,1.0,0.714,0.43,1.86,0.231,0.43,0.57,0.75,0.29,0.14,0.43,0.29,0.43,0.43,0.0,0.0,1.0,1.0,2.0
2010_PBXK_IST,E2010,PBXK,AKYOL_ CENK,IST,4.0,0.0,12.5,4,2,2,0,2,0,1,0,0,0,2,0,0,0,0,3,1,1,3.12,1.0,0.5,0.5,1.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.75,0.25,0.25
2011_PBXK_IST,E2011,PBXK,AKYOL_ CENK,IST,16.0,0.0,236.0,75,7,24,16,43,13,20,5,27,32,8,9,4,1,0,34,22,58,14.75,4.69,0.44,1.5,0.292,1.0,2.69,0.372,0.81,1.25,0.65,0.31,1.69,2.0,0.5,0.56,0.25,0.06,0.0,2.12,1.38,3.62
2013_PBXK_GAL,E2013,PBXK,AKYOL_ CENK,GAL,20.0,6.0,292.0,100,9,30,24,53,10,12,8,24,32,8,9,8,1,0,33,19,76,14.6,5.0,0.45,1.5,0.3,1.2,2.65,0.453,0.5,0.6,0.833,0.4,1.2,1.6,0.4,0.45,0.4,0.05,0.0,1.65,0.95,3.8
2020_P006785_TEL,E2020,P006785,ALBER_ EIDAN,TEL,1.0,0.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019_P003425_DYR,E2019,P003425,ALBICY_ ANDREW,DYR,27.0,12.0,579.4,178,21,52,37,105,25,44,12,32,44,90,24,42,1,3,42,80,212,21.46,6.59,0.78,1.93,0.404,1.37,3.89,0.352,0.93,1.63,0.568,0.44,1.19,1.63,3.33,0.89,1.56,0.04,0.11,1.56,2.96,7.85
2011_P003328_GAL,E2011,P003328,ALDEMIR_ FURKAN,GAL,15.0,7.0,252.4,99,34,61,0,0,31,39,28,44,72,7,10,17,6,4,34,34,138,16.83,6.6,2.27,4.07,0.557,0.0,0.0,0.0,2.07,2.6,0.795,1.87,2.93,4.8,0.47,0.67,1.13,0.4,0.27,2.27,2.27,9.2
2013_P003328_GAL,E2013,P003328,ALDEMIR_ FURKAN,GAL,22.0,13.0,384.6,119,51,78,0,0,17,33,52,87,139,16,10,18,22,5,46,26,220,17.48,5.41,2.32,3.55,0.654,0.0,0.0,0.0,0.77,1.5,0.515,2.36,3.95,6.32,0.73,0.45,0.82,1.0,0.23,2.09,1.18,10.0
2014_P003328_GAL,E2014,P003328,ALDEMIR_ FURKAN,GAL,6.0,6.0,124.2,47,18,24,0,0,11,15,14,23,37,2,4,6,8,2,17,13,76,20.71,7.83,3.0,4.0,0.75,0.0,0.0,0.0,1.83,2.5,0.733,2.33,3.83,6.17,0.33,0.67,1.0,1.33,0.33,2.83,2.17,12.67
