season_player_id,season_code,player_id,player,team_id,games_played,games_started,minutes,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation,minutes_per_game,points_per_game,two_points_made_per_game,two_points_attempted_per_game,two_points_percentage,three_points_made_per_game,three_points_attempted_per_game,three_points_percentage,free_throws_made_per_game,free_throws_attempted_per_game,free_throws_percentage,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,turnovers_per_game,blocks_favour_per_game,blocks_against_per_game,fouls_committed_per_game,fouls_received_per_game,valuation_per_game
2022_P011822_BRE,U2022,P011822,"COBBINS, MIKE",BRE,3.0,0.0,46.6,22,10,13,0,0,2,4,3,10,13,4,3,3,3,1,7,3,32,15.52,7.33,3.33,4.33,0.769,0.0,0.0,0.0,0.67,1.33,0.5,1.0,3.33,4.33,1.33,1.0,1.0,1.0,0.33,2.33,1.0,10.67
2022_P012016_PAT,U2022,P012016,"CONDITT IV, GEORGE",PAT,3.0,0.0,57.4,19,8,14,0,0,3,5,4,10,14,2,0,3,1,1,1,8,31,19.14,6.33,2.67,4.67,0.571,0.0,0.0,0.0,1.0,1.67,0.6,1.33,3.33,4.67,0.67,0.0,1.0,0.33,0.33,0.33,2.67,10.33
2022_P007828_TRN,U2022,P007828,"CONTI, LUCA",TRN,3.0,1.0,41.6,19,8,12,1,9,0,1,2,1,3,3,1,4,0,0,6,4,7,13.88,6.33,2.67,4.0,0.667,0.33,3.0,0.111,0.0,0.33,0.0,0.67,0.33,1.0,1.0,0.33,1.33,0.0,0.0,2.0,1.33,2.33
2022_P010450_BOU,U2022,P010450,"COURBY, MAXIME",BOU,3.0,1.0,63.6,30,6,8,6,7,0,0,2,1,3,2,1,2,0,1,5,1,26,21.2,10.0,2.0,2.67,0.75,2.0,2.33,0.857,0.0,0.0,0.0,0.67,0.33,1.0,0.67,0.33,0.67,0.0,0.33,1.67,0.33,8.67
2022_PLVW_BRE,U2022,PLVW,"COURNOOH, DAVID",BRE,3.0,0.0,33.2,21,4,10,2,4,7,7,4,2,6,3,0,2,0,1,4,6,21,11.07,7.0,1.33,3.33,0.4,0.67,1.33,0.5,2.33,2.33,1.0,1.33,0.67,2.0,1.0,0.0,0.67,0.0,0.33,1.33,2.0,7.0
2022_P012003_PAT,U2022,P012003,"COWAN, ANTHONY",PAT,3.0,3.0,67.8,26,3,9,5,12,5,5,0,4,4,7,1,7,0,2,6,7,17,22.59,8.67,1.0,3.0,0.333,1.67,4.0,0.417,1.67,1.67,1.0,0.0,1.33,1.33,2.33,0.33,2.33,0.0,0.67,2.0,2.33,5.67
2022_P010254_TRN,U2022,P010254,"CRAWFORD, DREW",TRN,3.0,1.0,82.8,42,9,16,7,13,3,6,4,8,12,1,1,2,0,1,8,5,34,27.61,14.0,3.0,5.33,0.562,2.33,4.33,0.538,1.0,2.0,0.5,1.33,2.67,4.0,0.33,0.33,0.67,0.0,0.33,2.67,1.67,11.33
2022_P011843_BOU,U2022,P011843,"CUCHERAT, HUGO",BOU,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022_P005942_PAT,U2022,P005942,"DANGUBIC, NEMANJA",PAT,2.0,0.0,19.9,5,1,5,1,2,0,0,1,2,3,0,2,1,0,0,3,2,3,9.93,2.5,0.5,2.5,0.2,0.5,1.0,0.5,0.0,0.0,0.0,0.5,1.0,1.5,0.0,1.0,0.5,0.0,0.0,1.5,1.0,1.5
2022_P000968_VNC,U2022,P000968,"DE NICOLAO, ANDREA",VNC,3.0,0.0,19.0,3,0,0,1,3,0,0,0,0,0,2,1,0,0,0,2,1,3,6.34,1.0,0.0,0.0,0.0,0.33,1.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.33,0.0,0.0,0.0,0.67,0.33,1.0
2022_P009672_LLI,U2022,P009672,"DEKKER, SAM",LLI,1.0,1.0,4.6,5,2,2,0,2,1,2,1,0,1,0,1,0,0,0,0,1,5,4.62,5.0,2.0,2.0,1.0,0.0,2.0,0.0,1.0,2.0,0.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0
2022_P011045_TRN,U2022,P011045,"DELL'ANNA, LORENZO",TRN,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022_P005884_BRE,U2022,P005884,"DELLA VALLE, AMEDEO",BRE,3.0,3.0,76.6,47,6,13,7,17,14,18,1,4,5,14,5,7,0,0,3,18,58,25.55,15.67,2.0,4.33,0.462,2.33,5.67,0.412,4.67,6.0,0.778,0.33,1.33,1.67,4.67,1.67,2.33,0.0,0.0,1.0,6.0,19.33
2022_P011979_TTK,U2022,P011979,"DEMIR, ALIHAN",TTK,1.0,0.0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022_P004094_TTK,U2022,P004094,"DEMIR, BERK",TTK,3.0,3.0,57.6,12,2,7,2,8,2,5,2,6,8,1,3,1,0,5,5,2,1,19.2,4.0,0.67,2.33,0.286,0.67,2.67,0.25,0.67,1.67,0.4,0.67,2.0,2.67,0.33,1.0,0.33,0.0,1.67,1.67,0.67,0.33
2022_P011887_PRS,U2022,P011887,"DENIS, GAUTHIER",PRS,2.0,0.0,24.7,7,0,1,1,3,4,4,2,1,3,2,0,1,0,0,1,2,9,12.36,3.5,0.0,0.5,0.0,0.5,1.5,0.333,2.0,2.0,1.0,1.0,0.5,1.5,1.0,0.0,0.5,0.0,0.0,0.5,1.0,4.5
2022_P012042_ULM,U2022,P012042,"DEVIN, ROBINSON",ULM,3.0,1.0,62.6,27,10,18,0,1,7,8,4,15,19,0,1,5,3,1,8,6,32,20.88,9.0,3.33,6.0,0.556,0.0,0.33,0.0,2.33,2.67,0.875,1.33,5.0,6.33,0.0,0.33,1.67,1.0,0.33,2.67,2.0,10.67
2022_P010999_CLU,U2022,P010999,"DIABY, MODIBO",CLU,1.0,0.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022_P010801_PRS,U2022,P010801,"DIAWARA, MOHAMED",PRS,3.0,0.0,9.4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.14,0.67,0.33,0.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
2022_P011835_BOU,U2022,P011835,"DICKEY III, JAMES L",BOU,1.0,0.0,17.8,1,0,2,0,0,1,2,1,3,4,0,1,2,0,0,1,2,2,17.85,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,3.0,4.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0
2022_P008072_CAN,U2022,P008072,"DIOP, KHALIFA",CAN,3.0,1.0,58.9,21,9,14,0,0,3,5,10,5,15,1,2,6,1,0,12,5,20,19.64,7.0,3.0,4.67,0.643,0.0,0.0,0.0,1.0,1.67,0.6,3.33,1.67,5.0,0.33,0.67,2.0,0.33,0.0,4.0,1.67,6.67
2022_P011272_TTK,U2022,P011272,"DOGAN, MELIH",TTK,1.0,0.0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022_P012044_ULM,U2022,P012044,"DOS SANTOS, YAGO",ULM,3.0,3.0,61.3,26,4,8,4,12,6,8,1,3,4,11,2,4,0,0,5,9,29,20.43,8.67,1.33,2.67,0.5,1.33,4.0,0.333,2.0,2.67,0.75,0.33,1.0,1.33,3.67,0.67,1.33,0.0,0.0,1.67,3.0,9.67
2022_P006953_BUD,U2022,P006953,"DROBNJAK, IGOR",BUD,3.0,0.0,52.5,25,8,16,2,7,3,4,5,2,7,2,3,9,0,0,9,4,9,17.49,8.33,2.67,5.33,0.5,0.67,2.33,0.286,1.0,1.33,0.75,1.67,0.67,2.33,0.67,1.0,3.0,0.0,0.0,3.0,1.33,3.0
2022_P010427_BBU,U2022,P010427,"DUDZINSKI, DAVID",BBU,3.0,3.0,89.2,23,6,13,2,9,5,7,5,11,16,6,1,3,1,1,7,5,25,29.72,7.67,2.0,4.33,0.462,0.67,3.0,0.222,1.67,2.33,0.714,1.67,3.67,5.33,2.0,0.33,1.0,0.33,0.33,2.33,1.67,8.33
2022_P008317_CAN,U2022,P008317,"DUSCAK, DAN",CAN,2.0,0.0,19.2,2,1,3,0,2,0,0,1,2,3,5,1,2,0,1,2,1,3,9.59,1.0,0.5,1.5,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,1.5,2.5,0.5,1.0,0.0,0.5,1.0,0.5,1.5
2022_P006399_BBU,U2022,P006399,"DUVERIOGLU, AHMET",BBU,3.0,2.0,65.0,31,12,16,0,1,7,10,9,15,24,1,6,5,4,1,9,12,55,21.66,10.33,4.0,5.33,0.75,0.0,0.33,0.0,2.33,3.33,0.7,3.0,5.0,8.0,0.33,2.0,1.67,1.33,0.33,3.0,4.0,18.33
2022_P011168_WRO,U2022,P011168,"DZIEWA, ALEKSANDER",WRO,3.0,3.0,76.5,35,10,25,2,5,9,12,8,14,22,7,1,8,5,3,8,13,43,25.49,11.67,3.33,8.33,0.4,0.67,1.67,0.4,3.0,4.0,0.75,2.67,4.67,7.33,2.33,0.33,2.67,1.67,1.0,2.67,4.33,14.33
